标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
网络信息内容生态治理规定,国家互联网信息办公室,2019-12,法律法规,"网络,信息,生态治理","第一条　为了营造良好网络生态，保障公民、法人和其他组织的合法权益，维护国家安全和公共利益，根据《中华人民共和国国家安全法》《中华人民共和国网络安全法》《互联网信息服务管理办法》等法律、行政法规，制定本规定。

　　第二条　中华人民共和国境内的网络信息内容生态治理活动，适用本规定。

　　本规定所称网络信息内容生态治理，是指政府、企业、社会、网民等主体，以培育和践行社会主义核心价值观为根本，以网络信息内容为主要治理对象，以建立健全网络综合治理体系、营造清朗的网络空间、建设良好的网络生态为目标，开展的弘扬正能量、处置违法和不良信息等相关活动。

　　第三条　国家网信部门负责统筹协调全国网络信息内容生态治理和相关监督管理工作，各有关主管部门依据各自职责做好网络信息内容生态治理工作。

　　地方网信部门负责统筹协调本行政区域内网络信息内容生态治理和相关监督管理工作，地方各有关主管部门依据各自职责做好本行政区域内网络信息内容生态治理工作。

第二章　网络信息内容生产者

　　第四条　网络信息内容生产者应当遵守法律法规，遵循公序良俗，不得损害国家利益、公共利益和他人合法权益。

　　第五条　鼓励网络信息内容生产者制作、复制、发布含有下列内容的信息：

　　(一)宣传习近平新时代中国特色社会主义思想，全面准确生动解读中国特色社会主义道路、理论、制度、文化的；

　　(二)宣传党的理论路线方针政策和中央重大决策部署的；

　　(三)展示经济社会发展亮点，反映人民群众伟大奋斗和火热生活的；

　　(四)弘扬社会主义核心价值观，宣传优秀道德文化和时代精神，充分展现中华民族昂扬向上精神风貌的；

　　(五)有效回应社会关切，解疑释惑，析事明理，有助于引导群众形成共识的；

　　(六)有助于提高中华文化国际影响力，向世界展现真实立体全面的中国的；

　　(七)其他讲品味讲格调讲责任、讴歌真善美、促进团结稳定等的内容。

　　第六条　网络信息内容生产者不得制作、复制、发布含有下列内容的违法信息：

　　(一)反对宪法所确定的基本原则的；

　　(二)危害国家安全，泄露国家秘密，颠覆国家政权，破坏国家统一的；

　　(三)损害国家荣誉和利益的；

　　(四)歪曲、丑化、亵渎、否定英雄烈士事迹和精神，以侮辱、诽谤或者其他方式侵害英雄烈士的姓名、肖像、名誉、荣誉的；

　　(五)宣扬恐怖主义、极端主义或者煽动实施恐怖活动、极端主义活动的；

　　(六)煽动民族仇恨、民族歧视，破坏民族团结的；

　　(七)破坏国家宗教政策，宣扬邪教和封建迷信的；

　　(八)散布谣言，扰乱经济秩序和社会秩序的；

　　(九)散布淫秽、色情、赌博、暴力、凶杀、恐怖或者教唆犯罪的；

　　(十)侮辱或者诽谤他人，侵害他人名誉、隐私和其他合法权益的；

　　(十一)法律、行政法规禁止的其他内容。

　　第七条　网络信息内容生产者应当采取措施，防范和抵制制作、复制、发布含有下列内容的不良信息：

　　(一)使用夸张标题，内容与标题严重不符的；

　　(二)炒作绯闻、丑闻、劣迹等的；

　　(三)不当评述自然灾害、重大事故等灾难的；

　　(四)带有性暗示、性挑逗等易使人产生性联想的；

　　(五)展现血腥、惊悚、残忍等致人身心不适的；

　　(六)煽动人群歧视、地域歧视等的；

　　(七)宣扬低俗、庸俗、媚俗内容的；

　　(八)可能引发未成年人模仿不安全行为和违反社会公德行为、诱导未成年人不良嗜好等的；

　　(九)其他对网络生态造成不良影响的内容。

第三章　网络信息内容服务平台

　　第八条　网络信息内容服务平台应当履行信息内容管理主体责任，加强本平台网络信息内容生态治理，培育积极健康、向上向善的网络文化。

　　第九条　网络信息内容服务平台应当建立网络信息内容生态治理机制，制定本平台网络信息内容生态治理细则，健全用户注册、账号管理、信息发布审核、跟帖评论审核、版面页面生态管理、实时巡查、应急处置和网络谣言、黑色产业链信息处置等制度。

　　网络信息内容服务平台应当设立网络信息内容生态治理负责人，配备与业务范围和服务规模相适应的专业人员，加强培训考核，提升从业人员素质。

　　第十条　网络信息内容服务平台不得传播本规定第六条规定的信息，应当防范和抵制传播本规定第七条规定的信息。

　　网络信息内容服务平台应当加强信息内容的管理，发现本规定第六条、第七条规定的信息的，应当依法立即采取处置措施，保存有关记录，并向有关主管部门报告。

　　第十一条　鼓励网络信息内容服务平台坚持主流价值导向，优化信息推荐机制，加强版面页面生态管理，在下列重点环节(包括服务类型、位置版块等)积极呈现本规定第五条规定的信息：

　　(一)互联网新闻信息服务首页首屏、弹窗和重要新闻信息内容页面等；

　　(二)互联网用户公众账号信息服务精选、热搜等；

　　(三)博客、微博客信息服务热门推荐、榜单类、弹窗及基于地理位置的信息服务版块等；

　　(四)互联网信息搜索服务热搜词、热搜图及默认搜索等；

　　(五)互联网论坛社区服务首页首屏、榜单类、弹窗等；

　　(六)互联网音视频服务首页首屏、发现、精选、榜单类、弹窗等；

　　(七)互联网网址导航服务、浏览器服务、输入法服务首页首屏、榜单类、皮肤、联想词、弹窗等；

　　(八)数字阅读、网络游戏、网络动漫服务首页首屏、精选、榜单类、弹窗等；

　　(九)生活服务、知识服务平台首页首屏、热门推荐、弹窗等；

　　(十)电子商务平台首页首屏、推荐区等；

　　(十一)移动应用商店、移动智能终端预置应用软件和内置信息内容服务首屏、推荐区等；

　　(十二)专门以未成年人为服务对象的网络信息内容专栏、专区和产品等；

　　(十三)其他处于产品或者服务醒目位置、易引起网络信息内容服务使用者关注的重点环节。

　　网络信息内容服务平台不得在以上重点环节呈现本规定第七条规定的信息。

　　第十二条　网络信息内容服务平台采用个性化算法推荐技术推送信息的，应当设置符合本规定第十条、第十一条规定要求的推荐模型，建立健全人工干预和用户自主选择机制。

　　第十三条　鼓励网络信息内容服务平台开发适合未成年人使用的模式，提供适合未成年人使用的网络产品和服务，便利未成年人获取有益身心健康的信息。

　　第十四条　网络信息内容服务平台应当加强对本平台设置的广告位和在本平台展示的广告内容的审核巡查，对发布违法广告的，应当依法予以处理。

　　第十五条　网络信息内容服务平台应当制定并公开管理规则和平台公约，完善用户协议，明确用户相关权利义务，并依法依约履行相应管理职责。

　　网络信息内容服务平台应当建立用户账号信用管理制度，根据用户账号的信用情况提供相应服务。

　　第十六条　网络信息内容服务平台应当在显著位置设置便捷的投诉举报入口，公布投诉举报方式，及时受理处置公众投诉举报并反馈处理结果。

　　第十七条　网络信息内容服务平台应当编制网络信息内容生态治理工作年度报告，年度报告应当包括网络信息内容生态治理工作情况、网络信息内容生态治理负责人履职情况、社会评价情况等内容。

第四章　网络信息内容服务使用者

　　第十八条　网络信息内容服务使用者应当文明健康使用网络，按照法律法规的要求和用户协议约定，切实履行相应义务，在以发帖、回复、留言、弹幕等形式参与网络活动时，文明互动，理性表达，不得发布本规定第六条规定的信息，防范和抵制本规定第七条规定的信息。

　　第十九条　网络群组、论坛社区版块建立者和管理者应当履行群组、版块管理责任，依据法律法规、用户协议和平台公约等，规范群组、版块内信息发布等行为。

　　第二十条　鼓励网络信息内容服务使用者积极参与网络信息内容生态治理，通过投诉、举报等方式对网上违法和不良信息进行监督，共同维护良好网络生态。

　　第二十一条　网络信息内容服务使用者和网络信息内容生产者、网络信息内容服务平台不得利用网络和相关信息技术实施侮辱、诽谤、威胁、散布谣言以及侵犯他人隐私等违法行为，损害他人合法权益。

　　第二十二条　网络信息内容服务使用者和网络信息内容生产者、网络信息内容服务平台不得通过发布、删除信息以及其他干预信息呈现的手段侵害他人合法权益或者谋取非法利益。

　　第二十三条　网络信息内容服务使用者和网络信息内容生产者、网络信息内容服务平台不得利用深度学习、虚拟现实等新技术新应用从事法律、行政法规禁止的活动。

　　第二十四条　网络信息内容服务使用者和网络信息内容生产者、网络信息内容服务平台不得通过人工方式或者技术手段实施流量造假、流量劫持以及虚假注册账号、非法交易账号、操纵用户账号等行为，破坏网络生态秩序。

　　第二十五条　网络信息内容服务使用者和网络信息内容生产者、网络信息内容服务平台不得利用党旗、党徽、国旗、国徽、国歌等代表党和国家形象的标识及内容，或者借国家重大活动、重大纪念日和国家机关及其工作人员名义等，违法违规开展网络商业营销活动。

第五章　网络行业组织

　　第二十六条　鼓励行业组织发挥服务指导和桥梁纽带作用，引导会员单位增强社会责任感，唱响主旋律，弘扬正能量，反对违法信息，防范和抵制不良信息。

　　第二十七条　鼓励行业组织建立完善行业自律机制，制定网络信息内容生态治理行业规范和自律公约，建立内容审核标准细则，指导会员单位建立健全服务规范、依法提供网络信息内容服务、接受社会监督。

　　第二十八条　鼓励行业组织开展网络信息内容生态治理教育培训和宣传引导工作，提升会员单位、从业人员治理能力，增强全社会共同参与网络信息内容生态治理意识。

　　第二十九条　鼓励行业组织推动行业信用评价体系建设，依据章程建立行业评议等评价奖惩机制，加大对会员单位的激励和惩戒力度，强化会员单位的守信意识。

第六章　监督管理

　　第三十条　各级网信部门会同有关主管部门，建立健全信息共享、会商通报、联合执法、案件督办、信息公开等工作机制，协同开展网络信息内容生态治理工作。

　　第三十一条　各级网信部门对网络信息内容服务平台履行信息内容管理主体责任情况开展监督检查，对存在问题的平台开展专项督查。

　　网络信息内容服务平台对网信部门和有关主管部门依法实施的监督检查，应当予以配合。

　　第三十二条　各级网信部门建立网络信息内容服务平台违法违规行为台账管理制度，并依法依规进行相应处理。

　　第三十三条　各级网信部门建立政府、企业、社会、网民等主体共同参与的监督评价机制，定期对本行政区域内网络信息内容服务平台生态治理情况进行评估。

第七章　法律责任

　　第三十四条　网络信息内容生产者违反本规定第六条规定的，网络信息内容服务平台应当依法依约采取警示整改、限制功能、暂停更新、关闭账号等处置措施，及时消除违法信息内容，保存记录并向有关主管部门报告。

　　第三十五条　网络信息内容服务平台违反本规定第十条、第三十一条第二款规定的，由网信等有关主管部门依据职责，按照《中华人民共和国网络安全法》《互联网信息服务管理办法》等法律、行政法规的规定予以处理。

　　第三十六条　网络信息内容服务平台违反本规定第十一条第二款规定的，由设区的市级以上网信部门依据职责进行约谈，给予警告，责令限期改正；拒不改正或者情节严重的，责令暂停信息更新，按照有关法律、行政法规的规定予以处理。

　　第三十七条　网络信息内容服务平台违反本规定第九条、第十二条、第十五条、第十六条、第十七条规定的，由设区的市级以上网信部门依据职责进行约谈，给予警告，责令限期改正；拒不改正或者情节严重的，责令暂停信息更新，按照有关法律、行政法规的规定予以处理。

　　第三十八条　违反本规定第十四条、第十八条、第十九条、第二十一条、第二十二条、第二十三条、第二十四条、第二十五条规定的，由网信等有关主管部门依据职责，按照有关法律、行政法规的规定予以处理。

　　第三十九条　网信部门根据法律、行政法规和国家有关规定，会同有关主管部门建立健全网络信息内容服务严重失信联合惩戒机制，对严重违反本规定的网络信息内容服务平台、网络信息内容生产者和网络信息内容使用者依法依规实施限制从事网络信息服务、网上行为限制、行业禁入等惩戒措施。

　　第四十条　违反本规定，给他人造成损害的，依法承担民事责任；构成犯罪的，依法追究刑事责任；尚不构成犯罪的，由有关主管部门依照有关法律、行政法规的规定予以处罚。

第八章　附则

　　第四十一条　本规定所称网络信息内容生产者，是指制作、复制、发布网络信息内容的组织或者个人。

　　本规定所称网络信息内容服务平台，是指提供网络信息内容传播服务的网络信息服务提供者。

　　本规定所称网络信息内容服务使用者，是指使用网络信息内容服务的组织或者个人。

　　第四十二条　本规定自2020年3月1日起施行。",http://www.cac.gov.cn/2019-12/20/c_1578375159509309.htm
2022年提升全民数字素养与技能工作要点,国家互联网信息办公室,2022-03,政策规划,"全民,数字素养,数字技能","近日，中央网信办、教育部、工业和信息化部、人力资源社会保障部联合印发《2022年提升全民数字素养与技能工作要点》（以下简称《工作要点》）。通知要求，要坚持以习近平新时代中国特色社会主义思想为指导，以满足人民日益增长的美好生活需要、促进人的全面发展和全体人民共同富裕为根本目的，坚持目标导向、问题导向、结果导向，多措并举提升全民数字素养与技能，以优异成绩迎接党的二十大胜利召开。

《工作要点》明确了工作目标：到2022年底，提升全民数字素养与技能工作取得积极进展，系统推进工作格局基本建立。数字资源供给更加丰富，全民终身数字学习体系初步构建，劳动者数字工作能力加快提升，人民群众数字生活水平不断提高，数字创新活力竞相迸发，数字安全防护屏障更加坚固，数字社会法治道德水平持续提高，全民数字素养与技能发展环境不断优化。同时，《工作要点》提出了新增“基础教育精品课程”资源数量、电子商务培训、重点网站和移动应用程序适老化及无障碍改造数量等8项主要指标。",http://www.cac.gov.cn/2022-03/02/c_1647826931080748.htm
《工业企业数据安全防护要求 (草案)》详细解读,全国通信标准化技术委员会,2022-05,法律法规,"工业,企业,数据安全,防护",工业作为第二产业的主要组成部分，它决定着我国国民经济现代化的速度、规模和水平，在当代国民经济中起着主导作用。当工业领域的安全受到冲击带来的关联影响是巨大的，威胁不仅仅局限于工业本身，甚至会对我国的国家安全、国民经济、社会稳定等带来重大冲击。随着《 “十四五”数字经济发展规划》的提出，更加强调了数据资源为关键要素的重要性，并呼应了数据要素正式被纳入生产要素的政策，着重提出了数字经济具有“融合应用”和“全要素数字化转型”的特征，因此，在工业安全领域数据安全又变得尤为重要，如何帮助工业企业强化数据安全防御能力，变成为了《工业企业数据安全防护要求（草案）》（以下简称“此要求”）重点内容。,https://www.secrss.com/articles/42279
儿童个人信息网络保护规定,国家互联网信息办公室,2019-08,法律法规,"儿童,个人信息,网络保护","第一条 为了保护儿童个人信息安全，促进儿童健康成长，根据《中华人民共和国网络安全法》《中华人民共和国未成年人保护法》等法律法规，制定本规定。

    第二条 本规定所称儿童，是指不满十四周岁的未成年人。

    第三条 在中华人民共和国境内通过网络从事收集、存储、使用、转移、披露儿童个人信息等活动，适用本规定。

    第四条 任何组织和个人不得制作、发布、传播侵害儿童个人信息安全的信息。

    第五条 儿童监护人应当正确履行监护职责，教育引导儿童增强个人信息保护意识和能力，保护儿童个人信息安全。

    第六条 鼓励互联网行业组织指导推动网络运营者制定儿童个人信息保护的行业规范、行为准则等，加强行业自律，履行社会责任。

    第七条 网络运营者收集、存储、使用、转移、披露儿童个人信息的，应当遵循正当必要、知情同意、目的明确、安全保障、依法利用的原则。

    第八条 网络运营者应当设置专门的儿童个人信息保护规则和用户协议，并指定专人负责儿童个人信息保护。

    第九条 网络运营者收集、使用、转移、披露儿童个人信息的，应当以显著、清晰的方式告知儿童监护人，并应当征得儿童监护人的同意。

    第十条 网络运营者征得同意时，应当同时提供拒绝选项，并明确告知以下事项：

    （一）收集、存储、使用、转移、披露儿童个人信息的目的、方式和范围；

    （二）儿童个人信息存储的地点、期限和到期后的处理方式；

    （三）儿童个人信息的安全保障措施；

    （四）拒绝的后果；

    （五）投诉、举报的渠道和方式；

    （六）更正、删除儿童个人信息的途径和方法；

    （七）其他应当告知的事项。

　　前款规定的告知事项发生实质性变化的，应当再次征得儿童监护人的同意。

    第十一条 网络运营者不得收集与其提供的服务无关的儿童个人信息，不得违反法律、行政法规的规定和双方的约定收集儿童个人信息。

    第十二条 网络运营者存储儿童个人信息，不得超过实现其收集、使用目的所必需的期限。

    第十三条 网络运营者应当采取加密等措施存储儿童个人信息，确保信息安全。

    第十四条 网络运营者使用儿童个人信息，不得违反法律、行政法规的规定和双方约定的目的、范围。因业务需要，确需超出约定的目的、范围使用的，应当再次征得儿童监护人的同意。

    第十五条 网络运营者对其工作人员应当以最小授权为原则，严格设定信息访问权限，控制儿童个人信息知悉范围。工作人员访问儿童个人信息的，应当经过儿童个人信息保护负责人或者其授权的管理人员审批，记录访问情况，并采取技术措施，避免违法复制、下载儿童个人信息。

    第十六条 网络运营者委托第三方处理儿童个人信息的，应当对受委托方及委托行为等进行安全评估，签署委托协议，明确双方责任、处理事项、处理期限、处理性质和目的等，委托行为不得超出授权范围。

　　前款规定的受委托方，应当履行以下义务：

    （一）按照法律、行政法规的规定和网络运营者的要求处理儿童个人信息；

    （二）协助网络运营者回应儿童监护人提出的申请；

    （三）采取措施保障信息安全，并在发生儿童个人信息泄露安全事件时，及时向网络运营者反馈；

    （四）委托关系解除时及时删除儿童个人信息;

    （五）不得转委托；

    （六）其他依法应当履行的儿童个人信息保护义务。

    第十七条 网络运营者向第三方转移儿童个人信息的，应当自行或者委托第三方机构进行安全评估。

    第十八条 网络运营者不得披露儿童个人信息，但法律、行政法规规定应当披露或者根据与儿童监护人的约定可以披露的除外。

    第十九条 儿童或者其监护人发现网络运营者收集、存储、使用、披露的儿童个人信息有错误的，有权要求网络运营者予以更正。网络运营者应当及时采取措施予以更正。

    第二十条 儿童或者其监护人要求网络运营者删除其收集、存储、使用、披露的儿童个人信息的，网络运营者应当及时采取措施予以删除，包括但不限于以下情形：

    （一）网络运营者违反法律、行政法规的规定或者双方的约定收集、存储、使用、转移、披露儿童个人信息的；

    （二）超出目的范围或者必要期限收集、存储、使用、转移、披露儿童个人信息的；

    （三）儿童监护人撤回同意的；

    （四）儿童或者其监护人通过注销等方式终止使用产品或者服务的。

    第二十一条 网络运营者发现儿童个人信息发生或者可能发生泄露、毁损、丢失的，应当立即启动应急预案，采取补救措施；造成或者可能造成严重后果的，应当立即向有关主管部门报告，并将事件相关情况以邮件、信函、电话、推送通知等方式告知受影响的儿童及其监护人，难以逐一告知的，应当采取合理、有效的方式发布相关警示信息。

    第二十二条 网络运营者应当对网信部门和其他有关部门依法开展的监督检查予以配合。

    第二十三条 网络运营者停止运营产品或者服务的，应当立即停止收集儿童个人信息的活动，删除其持有的儿童个人信息，并将停止运营的通知及时告知儿童监护人。

    第二十四条 任何组织和个人发现有违反本规定行为的，可以向网信部门和其他有关部门举报。

　　网信部门和其他有关部门收到相关举报的，应当依据职责及时进行处理。

    第二十五条 网络运营者落实儿童个人信息安全管理责任不到位，存在较大安全风险或者发生安全事件的，由网信部门依据职责进行约谈，网络运营者应当及时采取措施进行整改，消除隐患。

    第二十六条 违反本规定的，由网信部门和其他有关部门依据职责，根据《中华人民共和国网络安全法》《互联网信息服务管理办法》等相关法律法规规定处理；构成犯罪的，依法追究刑事责任。

    第二十七条 违反本规定被追究法律责任的，依照有关法律、行政法规的规定记入信用档案，并予以公示。

    第二十八条 通过计算机信息系统自动留存处理信息且无法识别所留存处理的信息属于儿童个人信息的，依照其他有关规定执行。

    第二十九条 本规定自2019年10月1日起施行。",http://www.cac.gov.cn/2019-08/23/c_1124913903.htm
关于印发《关于推动资本市场服务网络强国建设的指导意见》的通知,国家互联网信息办公室,2018-03,政策规划,关于印发《关于推动资本市场服务网络强国建设的指导意见》的通知,"各省、自治区、直辖市、计划单列市、新疆生产建设兵团网信办，中国证监会各派出机构、各交易所、各下属单位、各协会、会内各部门：

　　《关于推动资本市场服务网络强国建设的指导意见》已经中央领导同志批准同意，现印发给你们，请结合实际认真贯彻落实。

中央网络安全和信息化委员会办公室  中国证券监督管理委员会",http://www.cac.gov.cn/2018-04/13/c_1122676837.htm
国家互联网信息办公室 国家发展和改革委员会 工业和信息化部 财政部关于发布《云计算服务安全评估办法》的公告,国家互联网信息办公室,2019-07,政策规划,国家互联网信息办公室 国家发展和改革委员会 工业和信息化部 财政部关于发布《云计算服务安全评估办法》的公告,"第一条 为提高党政机关、关键信息基础设施运营者采购使用云计算服务的安全可控水平，制定本办法。

第二条 云计算服务安全评估坚持事前评估与持续监督相结合，保障安全与促进应用相统一，依据有关法律法规和政策规定，参照国家有关网络安全标准，发挥专业技术机构、专家作用，客观评价、严格监督云计算服务平台（以下简称“云平台”）的安全性、可控性，为党政机关、关键信息基础设施运营者采购云计算服务提供参考。

本办法中的云平台包括云计算服务软硬件设施及其相关管理制度等。

第三条 云计算服务安全评估重点评估以下内容：

（一）云平台管理运营者（以下简称“云服务商”）的征信、经营状况等基本情况；

（二）云服务商人员背景及稳定性，特别是能够访问客户数据、能够收集相关元数据的人员；

（三）云平台技术、产品和服务供应链安全情况；

（四）云服务商安全管理能力及云平台安全防护情况；

（五）客户迁移数据的可行性和便捷性；

（六）云服务商的业务连续性；

（七）其他可能影响云服务安全的因素。

第四条 国家互联网信息办公室会同国家发展和改革委员会、工业和信息化部、财政部建立云计算服务安全评估工作协调机制（以下简称“协调机制”），审议云计算服务安全评估政策文件，批准云计算服务安全评估结果，协调处理云计算服务安全评估有关重要事项。

云计算服务安全评估工作协调机制办公室（以下简称“办公室”）设在国家互联网信息办公室网络安全协调局。

第五条 云服务商可申请对面向党政机关、关键信息基础设施提供云计算服务的云平台进行安全评估。

第六条 申请安全评估的云服务商应向办公室提交以下材料：

（一）申报书；

（二）云计算服务系统安全计划；

（三）业务连续性和供应链安全报告；

（四）客户数据可迁移性分析报告；

（五）安全评估工作需要的其他材料。

第七条 办公室受理云服务商申请后，组织专业技术机构参照国家有关标准对云平台进行安全评价。

第八条 专业技术机构应坚持客观、公正、公平的原则，按照国家有关规定，在办公室指导监督下，参照《云计算服务安全指南》《云计算服务安全能力要求》等国家标准，重点评价本办法第三条所述内容，形成评价报告，并对评价结果负责。

第九条 办公室在专业技术机构安全评价基础上，组织云计算服务安全评估专家组进行综合评价。

第十条 云计算服务安全评估专家组根据云服务商申报材料、评价报告等，综合评价云计算服务的安全性、可控性，提出是否通过安全评估的建议。

第十一条 云计算服务安全评估专家组的建议经协调机制审议通过后，办公室按程序报国家互联网信息办公室核准。

云计算服务安全评估结果由办公室发布。

第十二条 云计算服务安全评估结果有效期3年。有效期届满需要延续保持评估结果的，云服务商应在届满前至少6个月向办公室申请复评。

有效期内，云服务商因股权变更、企业重组等导致实控人或控股权发生变化的，应重新申请安全评估。

第十三条 办公室通过组织抽查、接受举报等形式，对通过评估的云平台开展持续监督，重点监督有关安全控制措施有效性、重大变更、应急响应、风险处置等内容。

通过评估的云平台已不再满足要求的，经协调机制审议、国家互联网信息办公室核准后撤销通过评估的结论。

第十四条 通过评估的云平台停止提供服务时，云服务商应至少提前6个月通知客户和办公室，并配合客户做好迁移工作。

第十五条 云服务商对所提供申报材料的真实性负责。在评估过程中拒绝按要求提供材料或故意提供虚假材料的，按评估不通过处理。

第十六条 未经云服务商同意，参与评估工作的相关机构和人员不得披露云服务商提交的未公开材料以及评估工作中获悉的其他非公开信息，不得将云服务商提供的信息用于评估以外的目的。

第十七条 本办法自2019年9月1日起施行。",http://www.cac.gov.cn/2019-07/22/c_1124781475.htm
"国家互联网信息办公室关于《互联网信息服务深度合成管理规定（征求意见稿）》
公开征求意见的通知",国家互联网信息办公室,2022-01,法律法规,"互联网,信息服务,深度合成,管理规定","为了规范互联网信息服务深度合成活动，弘扬社会主义核心价值观，维护国家安全和社会公共利益，保护公民、法人和其他组织的合法权益，我办起草了《互联网信息服务深度合成管理规定（征求意见稿）》，现向社会公开征求意见。公众可通过以下途径和方式提出反馈意见：

1.登录中华人民共和国司法部　中国政府法制信息网（www.moj.gov.cn、www.chinalaw.gov.cn），进入首页主菜单的“立法意见征集”栏目提出意见。

2.通过电子邮件将意见发送至：shenduhecheng@cac.gov.cn。

3.通过信函将意见寄至：北京市西城区车公庄大街11号国家互联网信息办公室网络法治局，邮编：100044，并请在信封上注明“互联网信息服务深度合成管理规定征求意见”字样。

意见反馈截止日期为2022年2月28日。",http://www.cac.gov.cn/2022-01/28/c_1644970458520968.htm
"国家互联网信息办公室关于《未成年人网络保护条例（征求意见稿）》
再次公开征求意见的通知",国家互联网信息办公室,2022-03,法律法规,"互联网,未成年人,网络保护","为了营造健康、文明、有序的网络环境，保护未成年人身心健康，保障未成年人在网络空间的合法权益，按照有关立法规划计划安排，前期国家互联网信息办公室起草了《未成年人网络保护条例（征求意见稿）》并公开征求意见。此后，国家互联网信息办公室会同司法部根据新修订制定的《中华人民共和国未成年人保护法》《中华人民共和国个人信息保护法》等法律和社会公众反馈意见，对《未成年人网络保护条例（征求意见稿）》进行了修改完善。为深入推进科学立法、民主立法、依法立法，提高立法质量，现再次公开征求意见。公众可通过以下途径和方式提出反馈意见：

1.通过电子邮件将意见发送至：law@cac.gov.cn。

2.通过信函将意见寄至：北京市西城区车公庄大街11号国家互联网信息办公室网络法治局，邮编：100044，并请在信封上注明“未成年人网络保护条例征求意见”字样。

意见反馈截止日期为2022年4月13日。",http://www.cac.gov.cn/2022-03/14/c_1648865100662480.htm
国家铁路局关于印发《“十四五”铁路科技创新规划》的通知,铁道部,2021-12,政策规划,"国家铁路局,“十四五”,铁路科技创新",铁路是综合交通运输体系的骨干，是建设现代化经济体系的重要支撑，是全面建设社会主义现代化国家的先行领域。铁路科技创新是国家科技创新体系的重要组成部分，是引领铁路发展的第一动力。为持续推进铁路科技创新，推动铁路高质量发展，支撑科技强国、交通强国建设，根据国家和行业相关规划部署，制定本规划。,http://www.gov.cn/zhengce/zhengceku/2021-12/24/content_5664357.htm
数字乡村发展行动计划（2022-2025年）,国家互联网信息办公室,2022-01,政策规划,"数字乡村,发展,行动计划","近日，中央网信办、农业农村部、国家发展改革委、工业和信息化部、科技部、住房和城乡建设部、商务部、市场监管总局、广电总局、国家乡村振兴局印发《数字乡村发展行动计划（2022-2025年）》（以下简称《行动计划》）。《行动计划》立足我国“三农”工作重心历史性转向全面推进乡村振兴的发展形势，落实《数字乡村发展战略纲要》《“十四五”国家信息化规划》有关要求，对“十四五”时期数字乡村发展作出部署安排，是各地区、各部门推进数字乡村工作的重要指引。

《行动计划》指出，“十四五”时期是乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的第一个五年，也是全面推进乡村振兴、建设数字中国的发力期。要加快推进数字乡村建设，充分发挥信息化对乡村振兴的驱动引领作用，整体带动和提升农业农村现代化发展，促进农业全面升级、农村全面进步、农民全面发展。　　

《行动计划》强调，要以习近平新时代中国特色社会主义思想为指导，全面贯彻党的十九大和十九届历次全会精神，深入贯彻中央经济工作会议、中央农村工作会议精神，坚持稳中求进工作总基调，立足新发展阶段、贯彻新发展理念、构建新发展格局、推动高质量发展，促进共同富裕，坚持和加强党对“三农”工作的全面领导，牢牢守住保障国家粮食安全和不发生规模性返贫两条底线，以解放和发展数字生产力、激发乡村振兴内生动力为主攻方向，着力发展乡村数字经济，着力提升农民数字素养与技能，着力繁荣乡村网络文化，着力提高乡村数字化治理效能，为推动乡村振兴取得新进展、农业农村现代化迈出新步伐、数字中国建设取得新成效提供有力支撑。　　

《行动计划》提出，要坚持深化改革、创新驱动，坚持以人为本、内生驱动，坚持统筹协调、城乡融合，坚持规划引领、分类推进。到2023年，数字乡村发展取得阶段性进展。网络帮扶成效得到进一步巩固提升，农村互联网普及率和网络质量明显提高，农业生产信息化水平稳步提升，“互联网+政务服务”进一步向基层延伸，乡村公共服务水平持续提高，乡村治理效能有效提升。到2025年，数字乡村发展取得重要进展。乡村4G深化普及、5G创新应用，农业生产经营数字化转型明显加快，智慧农业建设取得初步成效，培育形成一批叫得响、质量优、特色显的农村电商产品品牌，乡村网络文化繁荣发展，乡村数字化治理体系日趋完善。　　

《行动计划》部署了8个方面的重点行动。一是数字基础设施升级行动，二是智慧农业创新发展行动，三是新业态新模式发展行动，四是数字治理能力提升行动，五是乡村网络文化振兴行动，六是智慧绿色乡村打造行动，七是公共服务效能提升行动，八是网络帮扶拓展深化行动。同时，《行动计划》还设立了乡村基础设施数字化改造提升工程等7项重点工程，作为落实上述行动的重要抓手。　　

《行动计划》从加强组织领导、加强政策支持、加强人才支撑、加强指导监督、加强安全保障、加强宣传引导等6个方面完善保障措施，确保目标任务落到实处。",http://www.cac.gov.cn/2022-01/25/c_1644713315749608.htm
